2.15	1.8021	1.2614	0.8961	0.6405	0.5485
2.144688059	1.798252275	1.273992334	0.907694066	0.680475677	0.58139185
2.130407313	1.790584	1.278327533	0.926882557	0.725809124	0.622878187
2.107934981	1.77919575	1.277027568	0.951694909	0.774752818	0.670715609
2.07801271	1.7641881	1.272113771	0.980398737	0.825775419	0.72292499
2.041346583	1.745661625	1.265089572	1.01148508	0.877548068	0.777775311
1.998607113	1.7237169	1.257017838	1.043653638	0.928930684	0.833767487
1.950429246	1.6984545	1.248592823	1.075798011	0.97895826	0.889618189
1.89741236	1.669975	1.240206714	1.106990944	1.026827168	0.94424368
1.840120265	1.638378975	1.232010787	1.13646956	1.07188145	0.996743632
1.779081203	1.603767	1.223971167	1.163620605	1.113599121	1.046384961
1.714787849	1.56623965	1.215919189	1.187965686	1.151578466	1.092585648
1.64769731	1.5258975	1.207596364	1.209146511	1.185524337	1.13489857
1.578231124	1.482841125	1.198693953	1.226910128	1.215234454	1.172995325
1.506775263	1.4371711	1.18888714	1.241094166	1.240585701	1.20665006
1.43368013	1.388988	1.177863812	1.251612076	1.261520425	1.235723297
1.35926056	1.3383924	1.165347942	1.258438368	1.278032736	1.26014576
1.283795821	1.285484875	1.15111758	1.261593854	1.290154801	1.279902203
1.207529613	1.230366	1.135017442	1.261130884	1.297943148	1.295015235
1.130670068	1.17313635	1.116966105	1.25711859	1.30146496	1.305529149
1.05338975	1.1138965	1.096957813	1.249628125	1.300784375	1.31149375
0.975825656	1.052747025	1.075058876	1.238717899	1.295948784	1.312948177
0.898079213	0.9897885	1.051398683	1.224418824	1.286975128	1.309904734
0.820216284	0.9251215	1.026155312	1.206719552	1.273836202	1.302332717
0.74226716	0.8588466	0.99953575	1.185551712	1.256446944	1.29014224
0.664226567	0.791064375	0.971750714	1.160775156	1.234650742	1.27316806
0.586053663	0.7218754	0.942984073	1.132163192	1.208205726	1.251153408
0.507672037	0.65138025	0.913356883	1.099387831	1.176771071	1.223733813
0.42896971	0.5796795	0.88288602	1.062005019	1.139893293	1.19042093
0.349799137	0.506873725	0.851437415	1.019439884	1.096992547	1.150586366
0.269977203	0.4330635	0.818673901	0.970971973	1.047348926	1.103445508
0.189285227	0.3583494	0.783997657	0.915720489	0.990088759	1.04804135
0.10746896	0.282832	0.746487258	0.852629536	0.924170912	0.98322832
0.024238584	0.206611875	0.704829333	0.780453356	0.84837308	0.907656106
-0.060731287	0.1297896	0.657244824	0.697741571	0.761278093	0.819753482
-0.147801604	0.05246575	0.601409848	0.602824417	0.661260208	0.71771214
-0.23736889	-0.0252591	0.534371163	0.493797993	0.546471411	0.59947051
-0.329865232	-0.103284375	0.452456245	0.368509493	0.414827714	0.462697592
-0.425758287	-0.1815095	0.351177961	0.224542451	0.263995453	0.304776782
-0.525551279	-0.2598339	0.225133848	0.059201977	0.091377588	0.122789695
-0.629783	-0.338157	0.0679	-0.1305	-0.1059	-0.0865
